ticker,exchange,alias,asset_type,currency
045660,KQ,에이텍,Stock,KRW
045970,KQ,코아시아,Stock,KRW
046070,KQ,코다코,Stock,KRW
046120,KQ,오르비텍,Stock,KRW
046210,KQ,HLB파나진,Stock,KRW
046310,KQ,백금T&A,Stock,KRW
046390,KQ,삼화네트웍스,Stock,KRW
046440,KQ,KG파이낸셜,Stock,KRW
046890,KQ,서울반도체,Stock,KRW
046940,KQ,우원개발,Stock,KRW
046970,KQ,우리로,Stock,KRW
047080,KQ,한빛소프트,Stock,KRW
047310,KQ,파워로직스,Stock,KRW
047560,KQ,이스트소프트,Stock,KRW
047770,KQ,코데즈컴바인,Stock,KRW
047820,KQ,초록뱀미디어,Stock,KRW
047920,KQ,HLB제약,Stock,KRW
048410,KQ,현대바이오,Stock,KRW
048430,KQ,유라테크,Stock,KRW
048470,KQ,대동스틸,Stock,KRW
048530,KQ,인트론바이오,Stock,KRW
048550,KQ,SM C&C,Stock,KRW
048770,KQ,TPC로보틱스,Stock,KRW
048830,KQ,엔피케이,Stock,KRW
048870,KQ,시너지이노베이션,Stock,KRW
048910,KQ,대원미디어,Stock,KRW
049070,KQ,인탑스,Stock,KRW
049080,KQ,기가레인,Stock,KRW
049120,KQ,파인디앤씨,Stock,KRW
049180,KQ,셀루메드,Stock,KRW
049430,KQ,코메론,Stock,KRW
049470,KQ,비트플래닛,Stock,KRW
049480,KQ,오픈베이스,Stock,KRW
049520,KQ,유아이엘,Stock,KRW
049550,KQ,잉크테크,Stock,KRW
049630,KQ,재영솔루텍,Stock,KRW
049720,KQ,고려신용정보,Stock,KRW
049830,KQ,승일,Stock,KRW
049950,KQ,미래컴퍼니,Stock,KRW
049960,KQ,쎌바이오텍,Stock,KRW
050090,KQ,비케이홀딩스,Stock,KRW
050110,KQ,캠시스,Stock,KRW
050120,KQ,ES큐브,Stock,KRW
050760,KQ,에스폴리텍,Stock,KRW
050860,KQ,아세아텍,Stock,KRW
050890,KQ,쏠리드,Stock,KRW
050960,KQ,수산아이앤티,Stock,KRW
051160,KQ,지어소프트,Stock,KRW
051360,KQ,토비스,Stock,KRW
051370,KQ,인터플렉스,Stock,KRW
051380,KQ,피씨디렉트,Stock,KRW
051390,KQ,YW,Stock,KRW
051490,KQ,나라엠앤디,Stock,KRW
051500,KQ,CJ프레시웨이,Stock,KRW
051780,KQ,큐로홀딩스,Stock,KRW
051980,KQ,중앙첨단소재,Stock,KRW
052020,KQ,에스티큐브,Stock,KRW
052220,KQ,iMBC,Stock,KRW
052260,KQ,현대바이오랜드,Stock,KRW
052300,KQ,오션인더블유,Stock,KRW
052330,KQ,코텍,Stock,KRW
052400,KQ,코나아이,Stock,KRW
052420,KQ,오성첨단소재,Stock,KRW
052460,KQ,아이크래프트,Stock,KRW
052600,KQ,한네트,Stock,KRW
052710,KQ,아모텍,Stock,KRW
052770,KQ,아이톡시,Stock,KRW
052790,KQ,액토즈소프트,Stock,KRW
052860,KQ,아이앤씨,Stock,KRW
052900,KQ,KX하이텍,Stock,KRW
053030,KQ,바이넥스,Stock,KRW
053050,KQ,지에스이,Stock,KRW
053060,KQ,세동,Stock,KRW
053080,KQ,케이엔솔,Stock,KRW
053160,KQ,프리엠스,Stock,KRW
053260,KQ,금강철강,Stock,KRW
053270,KQ,구영테크,Stock,KRW
053280,KQ,예스24,Stock,KRW
053290,KQ,NE능률,Stock,KRW
053300,KQ,한국정보인증,Stock,KRW
053350,KQ,이니텍,Stock,KRW
053450,KQ,세코닉스,Stock,KRW
053580,KQ,웹케시,Stock,KRW
053610,KQ,프로텍,Stock,KRW
053620,KQ,태양,Stock,KRW
053700,KQ,삼보모터스,Stock,KRW
053800,KQ,안랩,Stock,KRW
053950,KQ,경남제약,Stock,KRW
053980,KQ,오상자이엘,Stock,KRW
054040,KQ,한국컴퓨터,Stock,KRW
054050,KQ,NH농우바이오,Stock,KRW
054090,KQ,삼진엘앤디,Stock,KRW
054180,KQ,메디콕스,Stock,KRW
054210,KQ,이랜텍,Stock,KRW
054220,KQ,비츠로시스,Stock,KRW
054300,KQ,팬스타엔터프라이즈,Stock,KRW
054410,KQ,케이피티유,Stock,KRW
054450,KQ,텔레칩스,Stock,KRW
054540,KQ,삼영엠텍,Stock,KRW
054620,KQ,APS,Stock,KRW
054670,KQ,대한뉴팜,Stock,KRW
054780,KQ,키이스트,Stock,KRW
054800,KQ,아이디스홀딩스,Stock,KRW
054920,KQ,한컴위드,Stock,KRW
054930,KQ,유신,Stock,KRW
054940,KQ,엑사이엔씨,Stock,KRW
054950,KQ,제이브이엠,Stock,KRW
056080,KQ,유진로봇,Stock,KRW
056090,KQ,시지메드텍,Stock,KRW
056190,KQ,에스에프에이,Stock,KRW
056360,KQ,코위버,Stock,KRW
056700,KQ,신화인터텍,Stock,KRW
056730,KQ,CNT85,Stock,KRW
057030,KQ,YBM넷,Stock,KRW
057540,KQ,옴니시스템,Stock,KRW
057680,KQ,티사이언티픽,Stock,KRW
058110,KQ,멕아이씨에스,Stock,KRW
058400,KQ,KNN,Stock,KRW
058450,KQ,한주에이알티,Stock,KRW
058470,KQ,리노공업,Stock,KRW
058610,KQ,에스피지,Stock,KRW
058630,KQ,엠게임,Stock,KRW
058820,KQ,CMG제약,Stock,KRW
058970,KQ,엠로,Stock,KRW
059090,KQ,미코,Stock,KRW
059100,KQ,아이컴포넌트,Stock,KRW
059120,KQ,아진엑스텍,Stock,KRW
059210,KQ,메타바이오메드,Stock,KRW
059270,KQ,해성에어로보틱스,Stock,KRW
060150,KQ,인선이엔티,Stock,KRW
060230,KQ,제이케이시냅스,Stock,KRW
060240,KQ,스타코링크,Stock,KRW
060250,KQ,NHN KCP,Stock,KRW
060260,KQ,뉴보텍,Stock,KRW
060280,KQ,큐렉소,Stock,KRW
060310,KQ,3S,Stock,KRW
060370,KQ,LS마린솔루션,Stock,KRW
060380,KQ,동양에스텍,Stock,KRW
060480,KQ,국일신동,Stock,KRW
060540,KQ,에스에이티,Stock,KRW
060560,KQ,HC홈센타,Stock,KRW
060570,KQ,드림어스컴퍼니,Stock,KRW
060590,KQ,씨티씨바이오,Stock,KRW
060720,KQ,KH바텍,Stock,KRW
060850,KQ,영림원소프트랩,Stock,KRW
060900,KQ,에이전트AI,Stock,KRW
061040,KQ,알에프텍,Stock,KRW
061090,KQ,세나테크놀로지,Stock,KRW
061250,KQ,화일약품,Stock,KRW
061970,KQ,LB세미콘,Stock,KRW
062970,KQ,한국첨단소재,Stock,KRW
063080,KQ,컴투스홀딩스,Stock,KRW
063170,KQ,서울옥션,Stock,KRW
063440,KQ,SM Life Design,Stock,KRW
063570,KQ,NICE인프라,Stock,KRW
063760,KQ,이엘피,Stock,KRW
064090,KQ,인크레더블버즈,Stock,KRW
064240,KQ,홈캐스트,Stock,KRW
064260,KQ,다날,Stock,KRW
064290,KQ,인텍플러스,Stock,KRW
064480,KQ,브리지텍,Stock,KRW
064520,KQ,테크엘,Stock,KRW
064550,KQ,바이오니아,Stock,KRW
064760,KQ,티씨케이,Stock,KRW
064800,KQ,포니링크,Stock,KRW
064820,KQ,케이프,Stock,KRW
064850,KQ,에프앤가이드,Stock,KRW
065060,KQ,지엔코,Stock,KRW
065130,KQ,탑엔지니어링,Stock,KRW
065150,KQ,대산F&B,Stock,KRW
065170,KQ,비엘팜텍,Stock,KRW
