ticker,exchange,alias,asset_type,currency
003060,KS,에이프로젠바이오로직스,Stock,KRW
003070,KS,코오롱글로벌,Stock,KRW
003075,KS,코오롱글로벌우,Stock,KRW
003080,KS,SB성보,Stock,KRW
003090,KS,대웅,Stock,KRW
003120,KS,일성아이에스,Stock,KRW
003160,KS,디아이,Stock,KRW
003200,KS,일신방직,Stock,KRW
003220,KS,대원제약,Stock,KRW
003230,KS,삼양식품,Stock,KRW
003240,KS,태광산업,Stock,KRW
003280,KS,흥아해운,Stock,KRW
003300,KS,한일홀딩스,Stock,KRW
003350,KS,한국화장품제조,Stock,KRW
003460,KS,유화증권,Stock,KRW
003465,KS,유화증권우,Stock,KRW
003470,KS,유안타증권,Stock,KRW
003475,KS,유안타증권우,Stock,KRW
003480,KS,한진중공업홀딩스,Stock,KRW
003490,KS,대한항공,Stock,KRW
003495,KS,대한항공우,Stock,KRW
003520,KS,영진약품,Stock,KRW
003530,KS,한화투자증권,Stock,KRW
003535,KS,한화투자증권우,Stock,KRW
003540,KS,대신증권,Stock,KRW
003545,KS,대신증권우,Stock,KRW
003547,KS,대신증권2우B,Stock,KRW
003550,KS,LG,Stock,KRW
003555,KS,LG우,Stock,KRW
003570,KS,SNT다이내믹스,Stock,KRW
003580,KS,HLB글로벌,Stock,KRW
0035T0,KS,PLUS 글로벌휴머노이드로봇액티브,ETF,KRW
003610,KS,방림,Stock,KRW
003620,KS,KG모빌리티,Stock,KRW
003650,KS,미창석유,Stock,KRW
003670,KS,포스코퓨처엠,Stock,KRW
003680,KS,한성기업,Stock,KRW
003690,KS,코리안리,Stock,KRW
0036D0,KS,TIME 미국배당다우존스액티브,ETF,KRW
0036R0,KS,RISE 미국휴머노이드로봇,ETF,KRW
0036Z0,KS,RISE 미국천연가스밸류체인,ETF,KRW
003720,KS,삼영,Stock,KRW
003780,KS,진양산업,Stock,KRW
003830,KS,대한화섬,Stock,KRW
003850,KS,보령,Stock,KRW
0038A0,KS,KODEX 미국휴머노이드로봇,ETF,KRW
003920,KS,남양유업,Stock,KRW
003925,KS,남양유업우,Stock,KRW
003960,KS,사조대림,Stock,KRW
004000,KS,롯데정밀화학,Stock,KRW
004020,KS,현대제철,Stock,KRW
004060,KS,SG세계물산,Stock,KRW
004080,KS,신흥,Stock,KRW
004090,KS,한국석유,Stock,KRW
0040S0,KS,HANARO 글로벌피지컬AI액티브,ETF,KRW
0040X0,KS,SOL 팔란티어미국채커버드콜혼합,ETF,KRW
0040Y0,KS,SOL 팔란티어커버드콜OTM채권혼합,ETF,KRW
004100,KS,태양금속,Stock,KRW
004105,KS,태양금속우,Stock,KRW
004140,KS,동방,Stock,KRW
004150,KS,한솔홀딩스,Stock,KRW
004170,KS,신세계,Stock,KRW
0041D0,KS,KODEX 미국AI소프트웨어TOP10,ETF,KRW
0041E0,KS,KODEX 미국S&P500액티브,ETF,KRW
004250,KS,NPC,Stock,KRW
004255,KS,NPC우,Stock,KRW
004270,KS,남성,Stock,KRW
004310,KS,현대약품,Stock,KRW
004360,KS,세방,Stock,KRW
004365,KS,세방우,Stock,KRW
004370,KS,농심,Stock,KRW
004380,KS,삼익THK,Stock,KRW
0043B0,KS,TIGER 머니마켓액티브,ETF,KRW
0043Y0,KS,TIME 차이나AI테크액티브,ETF,KRW
004410,KS,서울식품,Stock,KRW
004415,KS,서울식품우,Stock,KRW
004430,KS,송원산업,Stock,KRW
004440,KS,삼일씨엔에스,Stock,KRW
004450,KS,삼화왕관,Stock,KRW
004490,KS,세방전지,Stock,KRW
004540,KS,깨끗한나라,Stock,KRW
004545,KS,깨끗한나라우,Stock,KRW
004560,KS,현대비앤지스틸,Stock,KRW
004690,KS,삼천리,Stock,KRW
0046A0,KS,TIGER 미국초단기(3개월이하)국채,ETF,KRW
0046Y0,KS,ACE 미국배당퀄리티,ETF,KRW
004700,KS,조광피혁,Stock,KRW
004710,KS,한솔테크닉스,Stock,KRW
004720,KS,팜젠사이언스,Stock,KRW
004770,KS,써니전자,Stock,KRW
0047A0,KS,TIGER 차이나테크TOP10,ETF,KRW
0047N0,KS,PLUS 차이나AI테크TOP10,ETF,KRW
0047P0,KS,RISE 테슬라고정테크100,ETF,KRW
0047R0,KS,RISE 팔란티어고정테크100,ETF,KRW
004800,KS,효성,Stock,KRW
004830,KS,덕성,Stock,KRW
004835,KS,덕성우,Stock,KRW
004840,KS,DRB동일,Stock,KRW
004870,KS,티웨이홀딩스,Stock,KRW
004890,KS,동일산업,Stock,KRW
0048J0,KS,KODEX 미국머니마켓액티브,ETF,KRW
0048K0,KS,KODEX 차이나휴머노이드로봇,ETF,KRW
004910,KS,조광페인트,Stock,KRW
004920,KS,씨아이테크,Stock,KRW
004960,KS,한신공영,Stock,KRW
004970,KS,신라교역,Stock,KRW
004980,KS,성신양회,Stock,KRW
004985,KS,성신양회우,Stock,KRW
004990,KS,롯데지주,Stock,KRW
00499K,KS,롯데지주우,Stock,KRW
0049K0,KS,ACE 미국배당퀄리티채권혼합50,ETF,KRW
0049M0,KS,ACE 미국배당퀄리티+커버드콜액티브,ETF,KRW
005010,KS,휴스틸,Stock,KRW
005030,KS,부산주공,Stock,KRW
005070,KS,코스모신소재,Stock,KRW
005090,KS,SGC에너지,Stock,KRW
0050E0,KS,PLUS 미국AI에이전트,ETF,KRW
005110,KS,한창,Stock,KRW
005180,KS,빙그레,Stock,KRW
0051A0,KS,KoAct 브로드컴밸류체인액티브,ETF,KRW
0051G0,KS,SOL 미국원자력SMR,ETF,KRW
005250,KS,녹십자홀딩스,Stock,KRW
005257,KS,녹십자홀딩스2우,Stock,KRW
0052D0,KS,TIGER 코리아배당다우존스,ETF,KRW
0052S0,KS,1Q 미국S&P500미국채혼합50액티브,ETF,KRW
0052T0,KS,1Q 중단기회사채(A-이상)액티브,ETF,KRW
005300,KS,롯데칠성,Stock,KRW
005305,KS,롯데칠성우,Stock,KRW
005320,KS,온타이드,Stock,KRW
005360,KS,모나미,Stock,KRW
005380,KS,현대차,Stock,KRW
005385,KS,현대차우,Stock,KRW
005387,KS,현대차2우B,Stock,KRW
005389,KS,현대차3우B,Stock,KRW
0053L0,KS,TIGER 차이나휴머노이드로봇,ETF,KRW
0053M0,KS,더제이 중소형포커스액티브,ETF,KRW
005420,KS,코스모화학,Stock,KRW
005430,KS,한국공항,Stock,KRW
005440,KS,현대지에프홀딩스,Stock,KRW
005490,KS,POSCO홀딩스,Stock,KRW
005500,KS,삼진제약,Stock,KRW
005610,KS,삼립,Stock,KRW
005680,KS,삼영전자,Stock,KRW
005690,KS,파미셀,Stock,KRW
005720,KS,넥센,Stock,KRW
005725,KS,넥센우,Stock,KRW
005740,KS,크라운해태홀딩스,Stock,KRW
005745,KS,크라운해태홀딩스우,Stock,KRW
005750,KS,대림바스,Stock,KRW
0057H0,KS,PLUS 미국S&P500미국채혼합50액티브,ETF,KRW
005800,KS,신영와코루,Stock,KRW
005810,KS,풍산홀딩스,Stock,KRW
005820,KS,원림,Stock,KRW
005830,KS,DB손해보험,Stock,KRW
005850,KS,에스엘,Stock,KRW
005870,KS,휴니드,Stock,KRW
005880,KS,대한해운,Stock,KRW
005930,KS,삼성전자,Stock,KRW
005935,KS,삼성전자우,Stock,KRW
005940,KS,NH투자증권,Stock,KRW
005945,KS,NH투자증권우,Stock,KRW
005950,KS,이수화학,Stock,KRW
005960,KS,동부건설,Stock,KRW
005965,KS,동부건설우,Stock,KRW
006040,KS,동원산업,Stock,KRW
006060,KS,화승인더,Stock,KRW
006090,KS,사조오양,Stock,KRW
0060H0,KS,TIGER 토탈월드스탁액티브,ETF,KRW
006110,KS,삼아알미늄,Stock,KRW
006120,KS,SK디스커버리,Stock,KRW
006125,KS,SK디스커버리우,Stock,KRW
0061Z0,KS,RISE 단기특수은행채액티브,ETF,KRW
006200,KS,한국전자홀딩스,Stock,KRW
006220,KS,제주은행,Stock,KRW
006260,KS,LS,Stock,KRW
006280,KS,녹십자,Stock,KRW
006340,KS,대원전선,Stock,KRW
006345,KS,대원전선우,Stock,KRW
006360,KS,GS건설,Stock,KRW
006370,KS,대구백화점,Stock,KRW
006380,KS,카프로,Stock,KRW
006400,KS,삼성SDI,Stock,KRW
006405,KS,삼성SDI우,Stock,KRW
006490,KS,인스코비,Stock,KRW
0064K0,KS,KODEX 금액티브,ETF,KRW
006570,KS,대림통상,Stock,KRW
0065G0,KS,KODEX 차이나테크TOP10,ETF,KRW
006650,KS,대한유화,Stock,KRW
006660,KS,삼성공조,Stock,KRW
0066W0,KS,SOL 국제금,ETF,KRW
006740,KS,블루산업개발,Stock,KRW
0067V0,KS,TIGER 차이나글로벌리더스TOP3+,ETF,KRW
0067Y0,KS,TIGER 차이나AI소프트웨어,ETF,KRW
006800,KS,미래에셋증권,Stock,KRW
006805,KS,미래에셋증권우,Stock,KRW
00680K,KS,미래에셋증권2우B,Stock,KRW
006840,KS,AK홀딩스,Stock,KRW
006880,KS,신송홀딩스,Stock,KRW
006890,KS,태경케미컬,Stock,KRW
0068M0,KS,KODEX 미국S&P500버퍼6월액티브,ETF,KRW
006980,KS,우성,Stock,KRW
0069M0,KS,1Q 미국나스닥100,ETF,KRW
007070,KS,GS리테일,Stock,KRW
007110,KS,일신석재,Stock,KRW
007120,KS,미래아이앤지,Stock,KRW
007160,KS,사조산업,Stock,KRW
007210,KS,벽산,Stock,KRW
007280,KS,한국특강,Stock,KRW
0072R0,KS,TIGER KRX금현물,ETF,KRW
007310,KS,오뚜기,Stock,KRW
007340,KS,DN오토모티브,Stock,KRW
0073X0,KS,FOCUS 알리바바미국채커버드콜혼합,ETF,KRW
007460,KS,에이프로젠,Stock,KRW
0074K0,KS,KoAct K수출핵심기업TOP30액티브,ETF,KRW
007540,KS,샘표,Stock,KRW
007570,KS,일양약품,Stock,KRW
007575,KS,일양약품우,Stock,KRW
007590,KS,동방아그로,Stock,KRW
007610,KS,선도전기,Stock,KRW
007660,KS,이수페타시스,Stock,KRW
007690,KS,국도화학,Stock,KRW
007700,KS,F&F홀딩스,Stock,KRW
007810,KS,코리아써키트,Stock,KRW
007815,KS,코리아써우,Stock,KRW
00781K,KS,코리아써키트2우B,Stock,KRW
007860,KS,서연,Stock,KRW
0078V0,KS,PLUS 미국로보택시,ETF,KRW
007980,KS,TP,Stock,KRW
0079X0,KS,ACE BYD밸류체인액티브,ETF,KRW
008040,KS,사조동아원,Stock,KRW
008060,KS,대덕,Stock,KRW
00806K,KS,대덕1우,Stock,KRW
0080G0,KS,KODEX 방산TOP10,ETF,KRW
0080X0,KS,SOL 미국S&P500미국채혼합50,ETF,KRW
0080Y0,KS,SOL 조선TOP3플러스레버리지,ETF,KRW
008250,KS,이건산업,Stock,KRW
008260,KS,NI스틸,Stock,KRW
0082F0,KS,HANARO 유럽방산,ETF,KRW
0082V0,KS,KODEX TDF2060액티브 적격,ETF,KRW
008350,KS,남선알미늄,Stock,KRW
008355,KS,남선알미우,Stock,KRW
0083S0,KS,1Q 미국메디컬AI,ETF,KRW
008420,KS,문배철강,Stock,KRW
008490,KS,서흥,Stock,KRW
0084D0,KS,KIWOOM 미국테크100월간목표헤지액티브,ETF,KRW
0084E0,KS,KIWOOM 미국대형주500월간목표헤지액티브,ETF,KRW
008500,KS,일정실업,Stock,KRW
0085N0,KS,ACE 미국10년국채액티브(H),ETF,KRW
0085P0,KS,ACE 미국10년국채액티브,ETF,KRW
008600,KS,윌비스,Stock,KRW
0086B0,KS,TIGER 리츠부동산인프라TOP10액티브,ETF,KRW
0086C0,KS,TIGER 리츠부동산인프라10채권혼합액티브,ETF,KRW
008700,KS,아남전자,Stock,KRW
008730,KS,율촌화학,Stock,KRW
008770,KS,호텔신라,Stock,KRW
008775,KS,호텔신라우,Stock,KRW
0087F0,KS,ACE 차이나AI빅테크TOP2+액티브,ETF,KRW
008870,KS,금비,Stock,KRW
0088N0,KS,WON K-글로벌수급상위,ETF,KRW
008930,KS,한미사이언스,Stock,KRW
008970,KS,KBI동양철관,Stock,KRW
0089B0,KS,PLUS 미국나스닥100미국채혼합50,ETF,KRW
0089C0,KS,KODEX 미국S&P500변동성확대시커버드콜,ETF,KRW
0089D0,KS,KODEX 금융고배당TOP10,ETF,KRW
009070,KS,KCTC,Stock,KRW
0090B0,KS,PLUS K방산소부장,ETF,KRW
009140,KS,경인전자,Stock,KRW
009150,KS,삼성전기,Stock,KRW
009155,KS,삼성전기우,Stock,KRW
009160,KS,SIMPAC,Stock,KRW
009180,KS,한솔로지스틱스,Stock,KRW
009190,KS,대양금속,Stock,KRW
0091C0,KS,KODEX 미국10년국채액티브(H),ETF,KRW
0091M0,KS,HANARO 27-06 회사채(AA-이상)액티브,ETF,KRW
0091P0,KS,TIGER 코리아원자력,ETF,KRW
009200,KS,무림페이퍼,Stock,KRW
009240,KS,한샘,Stock,KRW
009270,KS,신원,Stock,KRW
009290,KS,광동제약,Stock,KRW
0092B0,KS,SOL 한국원자력SMR,ETF,KRW
0092C0,KS,SOL 27-12 회사채(AA-이상)액티브,ETF,KRW
009310,KS,참엔지니어링,Stock,KRW
009320,KS,아진전자부품,Stock,KRW
0093A0,KS,RISE AI반도체TOP10,ETF,KRW
0093B0,KS,RISE 엔비디아고정테크100,ETF,KRW
0093D0,KS,KoAct 팔란티어밸류체인액티브,ETF,KRW
009410,KS,태영건설,Stock,KRW
009415,KS,태영건설우,Stock,KRW
009420,KS,한올바이오파마,Stock,KRW
009440,KS,KC그린홀딩스,Stock,KRW
009450,KS,경동나비엔,Stock,KRW
009460,KS,한창제지,Stock,KRW
009470,KS,삼화전기,Stock,KRW
0094K0,KS,TIGER 28-04 회사채(A+이상)액티브,ETF,KRW
0094L0,KS,RISE 차이나테크TOP10위클리타겟커버드콜,ETF,KRW
0094M0,KS,RISE 코리아밸류업위클리고정커버드콜,ETF,KRW
0094X0,KS,1Q 샤오미밸류체인액티브,ETF,KRW
009540,KS,HD한국조선해양,Stock,KRW
009580,KS,무림P&P,Stock,KRW
009680,KS,모토닉,Stock,KRW
009770,KS,삼정펄프,Stock,KRW
0097L0,KS,KIWOOM 한국고배당&미국AI테크,ETF,KRW
009810,KS,플레이그램,Stock,KRW
009830,KS,한화솔루션,Stock,KRW
009835,KS,한화솔루션우,Stock,KRW
0098F0,KS,KODEX 원자력SMR,ETF,KRW
0098N0,KS,PLUS 자사주매입고배당주,ETF,KRW
0098Z0,KS,FOCUS 200,ETF,KRW
009900,KS,명신산업,Stock,KRW
009970,KS,영원무역홀딩스,Stock,KRW
0099L0,KS,ACE 우량회사채(AA-이상)액티브,ETF,KRW
010040,KS,한국내화,Stock,KRW
010060,KS,OCI홀딩스,Stock,KRW
0100K0,KS,KODEX 방산TOP10레버리지,ETF,KRW
010100,KS,한국무브넥스,Stock,KRW
010120,KS,LS ELECTRIC,Stock,KRW
010130,KS,고려아연,Stock,KRW
010140,KS,삼성중공업,Stock,KRW
0101N0,KS,RISE AI전력인프라,ETF,KRW
0102A0,KS,TIGER 미국AI소프트웨어TOP4Plus,ETF,KRW
0102X0,KS,ACE 유럽방산TOP10,ETF,KRW
0103T0,KS,1Q K소버린AI,ETF,KRW
010400,KS,우진아이엔에스,Stock,KRW
0104G0,KS,PLUS K방산레버리지,ETF,KRW
0104H0,KS,KoAct 미국나스닥채권혼합50액티브,ETF,KRW
0104N0,KS,TIGER 200타겟위클리커버드콜,ETF,KRW
0104P0,KS,TIGER 코리아배당다우존스위클리커버드콜,ETF,KRW
010580,KS,에스엠벡셀,Stock,KRW
0105D0,KS,SOL 한국AI소프트웨어,ETF,KRW
0105E0,KS,SOL 코리아고배당,ETF,KRW
010640,KS,진양폴리,Stock,KRW
010660,KS,화천기계,Stock,KRW
010690,KS,화신,Stock,KRW
010770,KS,평화홀딩스,Stock,KRW
010780,KS,아이에스동서,Stock,KRW
0107F0,KS,KIWOOM 미국고배당&AI테크,ETF,KRW
010820,KS,퍼스텍,Stock,KRW
010950,KS,S-Oil,Stock,KRW
010955,KS,S-Oil우,Stock,KRW
010960,KS,삼호개발,Stock,KRW
011000,KS,진원생명과학,Stock,KRW
011070,KS,LG이노텍,Stock,KRW
011090,KS,에넥스,Stock,KRW
011150,KS,CJ씨푸드,Stock,KRW
011155,KS,CJ씨푸드1우,Stock,KRW
011170,KS,롯데케미칼,Stock,KRW
0111J0,KS,HANARO 증권고배당TOP3플러스,ETF,KRW
0111P0,KS,1Q 미국나스닥100미국채혼합50액티브,ETF,KRW
011200,KS,HMM,Stock,KRW
011210,KS,현대위아,Stock,KRW
011230,KS,삼화전자,Stock,KRW
011280,KS,태림포장,Stock,KRW
0112X0,KS,마이티 200TR,ETF,KRW
011300,KS,우성머티리얼스,Stock,KRW
011330,KS,유니켐,Stock,KRW
011390,KS,부산산업,Stock,KRW
0113D0,KS,TIME 글로벌탑픽액티브,ETF,KRW
0113G0,KS,KoAct 미국바이오헬스케어액티브,ETF,KRW
0113P0,KS,HK 머니마켓액티브,ETF,KRW
011420,KS,갤럭시아에스엠,Stock,KRW
0114X0,KS,RISE 글로벌게임테크TOP3Plus,ETF,KRW
011500,KS,한농화성,Stock,KRW
0115C0,KS,RISE 미국고배당다우존스TOP10,ETF,KRW
